ticker
AAPL
MSFT
NVDA
AMZN
GOOGL
META
TSLA
AVGO
AMD
NFLX
INTC
CSCO
ORCL
ADBE
CRM
PYPL
UBER
SHOP
SQ
COIN
JPM
BAC
WFC
GS
MS
V
MA
AXP
JNJ
PFE
MRK
LLY
UNH
CVX
XOM
SLB
HD
LOW
COST
WMT
DIS
NKE
SBUX
TGT
